pattern,result,sim_time,timing_violations,stall_total,stall_load_use,stall_mem,stall_mul,stall_ifetch,stall_dmem,stall_imem,cycle_count
noHazard,PASS,134500,0,84,0,84,0,286,156,272,520
hasHazard,PASS,607000,0,245,139,106,0,327,195,311,2410
BrPred,PASS,146250,0,22,0,22,0,164,41,156,567
Scaling,PASS,806000,0,1269,212,1219,0,205,1238,195,3206
compression,PASS,179500,0,43,0,43,0,227,80,195,700
compression_uncompressed,PASS,199500,0,43,0,43,0,286,80,272,780
QSort_uncompressed,PASS,28054750,0,24932,4655,20277,0,25491,19538,24241,112201
QSort,PASS,29148500,0,24911,4634,20277,0,29342,19538,12394,116576
Conv,PASS,5329500,0,14480,2106,12257,1744,2087,11754,1045,21300
Conv_uncompressed,PASS,5572500,0,13707,82,12257,1744,3740,11754,3556,22272
Mul,PASS,68000,0,60,23,43,16,144,62,137,254
LFSR_HIST,PASS,306593250,0,19646,0,19646,0,948771,18891,902177,1226355
LFSR_HIST_short,PASS,15637500,0,369,0,369,0,47099,526,44788,62532
