pattern,result,sim_time,timing_violations,timing_violations_after_reset,stall_total,stall_load_use,stall_mem,stall_mul,stall_ifetch,stall_dmem,stall_imem,cycle_count
noHazard,PASS,1426244,67,0,428,0,428,0,272,156,272,552
hasHazard,PASS,5886244,67,0,506,0,506,0,311,195,311,2336
BrPred,PASS,1438744,67,0,197,0,197,0,156,41,156,557
Scaling,PASS,8223744,67,0,1414,0,1414,0,195,1238,195,3271
compression,PASS,1816244,67,0,258,0,258,0,195,80,195,708
compression_uncompressed,PASS,2038744,67,0,352,0,352,0,272,80,272,797
QSort_uncompressed,PASS,288268744,67,0,43290,0,43290,0,24241,19538,24241,115289
QSort,PASS,296253744,67,0,31915,0,31915,0,12394,19538,12394,118483
Conv,PASS,54638744,67,0,13918,0,12610,1308,986,11754,986,21837
Conv_uncompressed,PASS,57141244,67,0,16152,0,15041,1308,3287,11754,3287,22838
Mul,PASS,721244,67,0,199,0,199,12,137,62,137,270
LFSR_HIST,PASS,3300336244,67,0,921012,0,921012,0,902177,18891,902177,1320116
LFSR_HIST_short,PASS,167973744,67,0,45314,0,45314,0,44788,526,44788,67171
