pattern,result,sim_time,timing_violations,timing_violations_after_reset,stall_total,stall_load_use,stall_mem,stall_mul,stall_ifetch,stall_dmem,stall_imem,cycle_count
noHazard,PASS,1358227,1044,0,411,0,411,0,261,150,261,504
hasHazard,PASS,6264427,1044,0,486,0,486,0,299,187,299,2391
BrPred,PASS,1506427,1044,0,190,0,190,0,150,40,150,561
Scaling,PASS,8263827,1044,0,1366,0,1366,0,187,1199,187,3160
compression,PASS,1844427,1044,0,247,0,247,0,187,77,187,691
compression_uncompressed,PASS,2042027,1044,0,338,0,338,0,261,77,261,767
QSort_uncompressed,PASS,288556827,1044,0,42031,0,42031,0,23545,18976,23545,110965
QSort,PASS,300737827,1044,0,30987,0,30987,0,12028,18976,12028,115650
Conv,PASS,54442427,1044,0,13595,0,12287,1308,1011,11404,1011,20921
Conv_uncompressed,PASS,56774627,1044,0,15872,0,14855,1308,3451,11404,3451,21818
Mul,PASS,692627,1044,0,192,0,192,12,132,60,132,248
LFSR_HIST,PASS,3120562627,1044,0,894851,0,894851,0,876562,18345,876562,1200198
LFSR_HIST_short,PASS,159279627,1044,0,44024,0,44024,0,43517,507,43517,61243

area:468928
